Nome,Categoria,Raridade,Efeito,Efeito_Jogador,Valor (Sins),Obtenção,Tipo de Craft,Ingredientes,Tags,Lore/Notas,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18
Arma Pesada Perfurante +1,Arma,Incomum,Pesada Perfurante. 2d8+1. +2 em Atacar. Ignora 2 de Evasão.,,5d6+15,"Loja, Drop",Ferraria,1x Arma Pesada Perfurante + 2x Aço Temperado,,,,,,,,,,,,,,,,,,,,
Arma Pesada Contundente +1,Arma,Incomum,Pesada Contundente. 2d10+1. +2 em Atacar. Aplica Desorientado no Crítico.,,5d6+15,"Loja, Drop",Ferraria,1x Arma Pesada Contundente + 2x Aço Temperado,,,,,,,,,,,,,,,,,,,,
Arma Pesada Brutal +1,Arma,Incomum,"Pesada Brutal. 3d6+1. +2 em Atacar. Ao rolar 2 dados iguais, +1d6.",,5d6+15,"Loja, Drop",Ferraria,1x Arma Pesada Brutal + 2x Aço Temperado,,,,,,,,,,,,,,,,,,,,
Arma Marcial Versátil +1,Arma,Incomum,Marcial Versátil. 2d8+1. +2 em Atacar.,,5d6+15,"Loja, Drop",Ferraria,1x Arma Marcial Versátil + 2x Aço Temperado,,,,,,,,,,,,,,,,,,,,
Arma Marcial Precisa +1,Arma,Incomum,Marcial Precisa. 2d8+1. +2 em Atacar. Crítico de 9 (em vez de 10).,,5d6+15,"Loja, Drop",Ferraria,1x Arma Marcial Precisa + 2x Aço Temperado,,,,,,,,,,,,,,,,,,,,
Arma Marcial Longa +1,Arma,Incomum,"Marcial Longa. 2d6+1. +2 em Atacar. Alcance +1,5m.",,5d6+15,"Loja, Drop",Ferraria,1x Arma Marcial Longa + 2x Madeira Nobre,,,,,,,,,,,,,,,,,,,,
Arma Distância Simples +1,Arma,Incomum,Distância Simples. 2d6+1. +2 em Atacar. +1 Atacar se não tiver se movido nesta rodada. Alcance 18m.,,5d6+15,"Loja, Drop",Ferraria,1x Arma Distância Simples + 2x Madeira Nobre,,,,,,,,,,,,,,,,,,,,
Arma Distância Pesada +1,Arma,Incomum,Distância Pesada. 2d10+1. +2 em Atacar. Crítico de 8 (em vez de 10). Alcance 18m.,,5d6+15,"Loja, Drop",Ferraria,1x Arma Distância Pesada + 2x Madeira Nobre,,,,,,,,,,,,,,,,,,,,
Arma Arremesso +1,Arma,Incomum,"Arremesso. 2d4+1. +2 em Atacar. Se a menos de 3m do alvo, +1d4 de dano. Alcance 9m.",,5d6+15,"Loja, Drop",Ferraria,1x Arma Arremesso + 2x Madeira Nobre,,,,,,,,,,,,,,,,,,,,
Arma Marcial Pesada +1,Arma,Incomum,"Marcial Pesada. 2d10+1. +2 em Atacar. Ao acertar, pode empurrar o alvo 1,5m.",,5d6+15,"Loja, Drop",Ferraria,1x Arma Marcial Pesada + 2x Aço Temperado,,,,,,,,,,,,,,,,,,,,
Foco de Destruição +1,Arma,Incomum,"Foco Místico (Destruição). Permite canalizar magias da escola de Destruição. Requer Treinado em Místico. +1 Místico, +5 Éter máximo.",,5d6+15,"Loja, Drop",Não-craftável,,Foco/Destruição,,,,,,,,,,,,,,,,,,,
Foco de Abjuração +1,Arma,Incomum,"Foco Místico (Abjuração). Permite canalizar magias da escola de Abjuração. Requer Treinado em Místico. +1 Místico, +5 Éter máximo.",,5d6+15,"Loja, Drop",Não-craftável,,Foco/Abjuração,,,,,,,,,,,,,,,,,,,
Foco de Alteração +1,Arma,Incomum,"Foco Místico (Alteração). Permite canalizar magias da escola de Alteração. Requer Treinado em Místico. +1 Místico, +5 Éter máximo.",,5d6+15,"Loja, Drop",Não-craftável,,Foco/Alteração,,,,,,,,,,,,,,,,,,,
Foco de Conhecimento +1,Arma,Incomum,"Foco Místico (Conhecimento). Permite canalizar magias da escola de Conhecimento. Requer Treinado em Místico. +1 Místico, +5 Éter máximo.",,5d6+15,"Loja, Drop",Não-craftável,,Foco/Conhecimento,,,,,,,,,,,,,,,,,,,
Foco do Estilhaço,Arma,Incomum,"Foco Místico (Destruição). Permite canalizar magias da escola de Destruição. +1 Místico, +5 Éter máximo. Suas magias de Destruição de alvo único causam +1d6 de dano. Requer Treinado em Místico.",,5d6+15,"Drop, Loja",Não-craftável,,Foco/Destruição,,,,,,,,,,,,,,,,,,,
Foco da Égide,Arma,Incomum,"Foco Místico (Abjuração). Permite canalizar magias da escola de Abjuração. +1 Místico, +5 Éter máximo. Ao conjurar uma magia de Abjuração, ganha +1 Ar até o início do seu próximo turno. Requer Treinado em Místico.",,5d6+15,"Drop, Loja",Não-craftável,,Foco/Abjuração,,,,,,,,,,,,,,,,,,,
Foco do Fluxo,Arma,Incomum,"Foco Místico (Alteração). Permite canalizar magias da escola de Alteração. +1 Místico, +5 Éter máximo. Suas magias de Alteração canalizadas sobre aliados concedem +3m de movimento adicionais. Requer Treinado em Místico.",,5d6+15,"Drop, Loja",Não-craftável,,Foco/Alteração,,,,,,,,,,,,,,,,,,,
Foco do Vidente,Arma,Incomum,"Foco Místico (Conhecimento). Permite canalizar magias da escola de Conhecimento. +1 Místico, +5 Éter máximo. +2 em Investigação e Conhecimento enquanto equipado. Requer Treinado em Místico.",,5d6+15,"Drop, Loja",Não-craftável,,Foco/Conhecimento,,,,,,,,,,,,,,,,,,,
Lâmina de Vytália,Arma,Luxária,Marcial Precisa +3. 4d8+3. Crítico: cura 2d8 ao portador. Item único. Requisito: Não ter nenhuma habilidade relacionada ao abismo. Crítico de 9 (em vez de 10).,,6d12+80,Único/Quest,Não-craftável,,,"Artefato ligado a Vytália, deusa dos seres. Recompensa de quest ou drop de boss específico. Lâmina abençoada que pune a corrupção e recompensa a vida.",,,,,,,,,,,,,,,,,,
Martelo de Mundarak,Arma,Luxária,"Pesada Brutal +3. 5d6+3. 2d6 Trovejante. Crítico: Fortitude ou Caído + 3d6 Trovejante. Item único. Ao rolar 2 dados iguais, +1d6.",,6d12+80,Único/Quest,Não-craftável,,,"Artefato de Mundarak, deus da matéria. Peso do mundo em forma de martelo.",,,,,,,,,,,,,,,,,,
Lâmina Etérea,Arma,Luxária,Leve Cortante. 4d6+3. +6 em Atacar. Ataques ignoram Ar e Ae. Só existe no plano Místico.,,6d12+80,Drop CR≥3,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Grilhões de Osh'Kar,Arma,Luxária,"Marcial Longa +1. 2d6 + 2d6 Primordial. Alcance 3 m (corrente). Dano Primordial ignora Resistências. Habilidade: 1x por descanso longo, converse com o espírito de uma criatura morta há menos de 1 dia. Requer Treinado em Marciais. Item único.",,6d12+80,Único/Quest,Não-craftável,,,"Correntes da prisão de Osh'Kar, recuperadas no fundo do Abismo. Quem as porta carrega um fragmento da morte aprisionada — e ouve os mortos.",,,,,,,,,,,,,,,,,,
Arma Leve Cortante +3,Arma,Luxária,Leve Cortante. 4d6+3. +6 em Atacar. +1 de dano para cada ataque sucessivo na mesma rodada contra o mesmo alvo.,,6d12+80,"Loja, Drop",Ferraria,1x Arma Leve Cortante +2 + 2x Liga Primordial,,,,,,,,,,,,,,,,,,,,
Arma Leve Perfurante +3,Arma,Luxária,Leve Perfurante. 4d4+3. +6 em Atacar. Ignora 1 de Evasão.,,6d12+80,"Loja, Drop",Ferraria,1x Arma Leve Perfurante +2 + 2x Liga Primordial,,,,,,,,,,,,,,,,,,,,
Arma Leve Contundente +3,Arma,Luxária,Leve Contundente. 4d6+3. +6 em Atacar. -1 Atacar ao alvo se acertá-lo duas vezes na mesma rodada.,,6d12+80,"Loja, Drop",Ferraria,1x Arma Leve Contundente +2 + 2x Liga Primordial,,,,,,,,,,,,,,,,,,,,
Arma Leve Ágil +3,Arma,Luxária,Leve Ágil. 4d4+3. +6 em Atacar. +1 Atacar se você tiver se movido neste turno.,,6d12+80,"Loja, Drop",Ferraria,1x Arma Leve Ágil +2 + 2x Liga Primordial,,,,,,,,,,,,,,,,,,,,
Arma Pesada Cortante +3,Arma,Luxária,Pesada Cortante. 4d12+3. +6 em Atacar. Aplica Sangramento 1 no Crítico.,,6d12+80,"Loja, Drop",Ferraria,1x Arma Pesada Cortante +2 + 2x Liga Primordial,,,,,,,,,,,,,,,,,,,,
Arma Pesada Perfurante +3,Arma,Luxária,Pesada Perfurante. 4d8+3. +6 em Atacar. Ignora 2 de Evasão.,,6d12+80,"Loja, Drop",Ferraria,1x Arma Pesada Perfurante +2 + 2x Liga Primordial,,,,,,,,,,,,,,,,,,,,
Arma Pesada Contundente +3,Arma,Luxária,Pesada Contundente. 4d10+3. +6 em Atacar. Aplica Desorientado no Crítico.,,6d12+80,"Loja, Drop",Ferraria,1x Arma Pesada Contundente +2 + 2x Liga Primordial,,,,,,,,,,,,,,,,,,,,
Arma Pesada Brutal +3,Arma,Luxária,"Pesada Brutal. 5d6+3. +6 em Atacar. Ao rolar 2 dados iguais, +1d6.",,6d12+80,"Loja, Drop",Ferraria,1x Arma Pesada Brutal +2 + 2x Liga Primordial,,,,,,,,,,,,,,,,,,,,
Arma Marcial Versátil +3,Arma,Luxária,Marcial Versátil. 4d8+3. +6 em Atacar.,,6d12+80,"Loja, Drop",Ferraria,1x Arma Marcial Versátil +2 + 2x Liga Primordial,,,,,,,,,,,,,,,,,,,,
Arma Marcial Precisa +3,Arma,Luxária,Marcial Precisa. 4d8+3. +6 em Atacar. Crítico de 9 (em vez de 10).,,6d12+80,"Loja, Drop",Ferraria,1x Arma Marcial Precisa +2 + 2x Liga Primordial,,,,,,,,,,,,,,,,,,,,
Arma Marcial Longa +3,Arma,Luxária,"Marcial Longa. 4d6+3. +6 em Atacar. Alcance +1,5m.",,6d12+80,"Loja, Drop",Ferraria,1x Arma Marcial Longa +2 + 2x Madeira da Vhelor,,,,,,,,,,,,,,,,,,,,
Arma Distância Simples +3,Arma,Luxária,Distância Simples. 4d6+3. +6 em Atacar. +1 Atacar se não tiver se movido nesta rodada. Alcance 18m.,,6d12+80,"Loja, Drop",Ferraria,1x Arma Distância Simples +2 + 2x Madeira da Vhelor,,,,,,,,,,,,,,,,,,,,
Arma Distância Pesada +3,Arma,Luxária,Distância Pesada. 4d10+3. +6 em Atacar. Crítico de 8 (em vez de 10). Alcance 18m.,,6d12+80,"Loja, Drop",Ferraria,1x Arma Distância Pesada +2 + 2x Madeira da Vhelor,,,,,,,,,,,,,,,,,,,,
Arma Arremesso +3,Arma,Luxária,"Arremesso. 4d4+3. +6 em Atacar. Se a menos de 3m do alvo, +1d4 de dano. Alcance 9m.",,6d12+80,"Loja, Drop",Ferraria,1x Arma Arremesso +2 + 2x Madeira da Vhelor,,,,,,,,,,,,,,,,,,,,
Armadura de Placas,Armadura,Exótico,[Pesada] Ar 6. -3m Movimento. -2 Furtividade.,,6d10+40,"Loja, Drop",Ferraria,2x Liga Rúnica,,,,,,,,,,,,,,,,,,,,
Armadura Vulcânica,Armadura,Exótico,"[Pesada] Ar 5. Resistência a Fogo. Atacantes corpo a corpo recebem 1d6 de Fogo. -1,5m Movimento.",,6d10+40,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Armadura de Permafrost,Armadura,Exótico,"[Pesada] Ar 5. Resistência a Frio. Atacantes corpo a corpo, fortitude ou ficam Lento 1. -1,5m Movimento.",,6d10+40,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Armadura Galvânica,Armadura,Exótico,"[Pesada] Ar 5. Resistência a Elétrico. Ao ser atingido, descarrega 1d6 Elétrico no agressor. -1,5m Movimento.",,6d10+40,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Armadura do Pantaneiro,Armadura,Exótico,"[Pesada] Ar 4. Resistência a Veneno. Imune a Envenenado. Couro curtido com seiva. -1,5m Movimento.",,6d10+40,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Armadura da Morte Suspensa,Armadura,Exótico,"[Pesada] Ar 4. Resistência a Necrótico. Imune a Sangramento enquanto vestida. -1,5m Movimento.",,6d10+40,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Armadura do Julgamento,Armadura,Exótico,"[Pesada] Ar 4. Resistência a Radiante. +2 em testes de Vontade. -1,5m Movimento.",,6d10+40,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Armadura Anti-Magia,Armadura,Exótico,"[Pesada] Ar 4. Resistência a dano Místico (Radiante, Trovejante, Necrótico). -1,5m Movimento.",,6d10+40,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Peitoral Rúnico,Armadura,Exótico,"[Pesada] Ar 5. +1 Evasão. Runa gravada na placa. -1,5m Movimento.",,6d10+40,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Cota Élfica,Armadura,Exótico,[Pesada] Ar 4. Sem penalidade. +2 Furtividade. Leve como tecido.,,6d10+40,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Armadura Viva,Armadura,Exótico,"[Pesada] Ar X, receber dano aumenta x em 1 (Max. 10). Reinicia a cada combate.Orgânica. -1,5m Movimento.",,6d10+40,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Armadura do Sentinela,Armadura,Exótico,"[Pesada] Ar 5. +2 Percepção. Não pode ser pego Desprevenido. -1,5m Movimento.",,6d10+40,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Armadura Simbiótica,Armadura,Exótico,"[Pesada] Ar 5. +5 Saúde máxima. Cura 1 de Saúde por turno em combate. -1,5m Movimento.",,6d10+40,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Grevas do Corredor,Armadura,Exótico,"[Leve] Ae(Perfurante, 1). +3m Movimento.",,6d10+40,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Grevas Trovejantes,Armadura,Exótico,"[Leve] Ae(Trovejante, 2). Manobra Investida concede +1d6 de dano.",,6d10+40,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Capacete do Tirano,Armadura,Exótico,"[Leve] Ae(Psíquico, 2). Vantagem em Intimidação.",,6d10+40,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Elmo do Silencioso,Armadura,Exótico,"[Leve] Ae(Psíquico, 3). Imune a Confuso e Enfeitiçado.",,6d10+40,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Selo Necrótico,Armadura,Exótico,"[Leve] Ae(Necrótico, 5).",,6d10+40,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Lente Radiante,Armadura,Exótico,"[Leve] Ae(Radiante, 5).",,6d10+40,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Couro Batido,Armadura,Incomum,[Pesada] Ar 3. Sem penalidade.,,5d6+15,"Loja, Drop",Ferraria,1x Couro Refinado,,,,,,,,,,,,,,,,,,,,
Cota de Malha Superior,Armadura,Incomum,"[Pesada] Ar 4. -1,5m Movimento.",,5d6+15,"Loja, Drop",Ferraria,1x Aço Temperado,,,,,,,,,,,,,,,,,,,,
Peitoral de Aço,Armadura,Incomum,"[Pesada] Ar 5. -1,5m Movimento. -1 Furtividade.",,5d6+15,"Loja, Drop",Ferraria,2x Aço Temperado,,,,,,,,,,,,,,,,,,,,
Armadura Ignífuga,Armadura,Incomum,"[Pesada] Ar 3. Resistência a Fogo. -1,5m Movimento.",,5d6+15,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Armadura de Escamas,Armadura,Incomum,"[Pesada] Ar 4. Resistência a Ácido. Feita de escamas de réptil. -1,5m Movimento.",,5d6+15,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Capacete Reforçado,Armadura,Incomum,"[Leve] Ae(Contundente, 3). Ae(Psíquico, 1).",,5d6+15,"Loja, Drop",Ferraria,1x Aço Temperado,,,,,,,,,,,,,,,,,,,,
Grevas de Aço,Armadura,Incomum,"[Leve] Ae(Perfurante, 3).",,5d6+15,"Loja, Drop",Ferraria,1x Aço Temperado,,,,,,,,,,,,,,,,,,,,
Capa Defensiva,Armadura,Incomum,"[Leve] Ae(Ordinário, 1). Ae(Elemental, 1). Ae(Biológico, 1).",,5d6+15,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Broche da Salamandra,Armadura,Incomum,"[Leve] Ae(Fogo, 4).",,5d6+15,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Broche do Inverno,Armadura,Incomum,"[Leve] Ae(Frio, 4).",,5d6+15,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Broche Tempestuoso,Armadura,Incomum,"[Leve] Ae(Elétrico, 4).",,5d6+15,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Amuleto Antitóxico,Armadura,Incomum,"[Leve] Ae(Veneno, 4).",,5d6+15,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Broche Corrosivo,Armadura,Incomum,"[Leve] Ae(Ácido, 4).",,5d6+15,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Égide dos Elementos,Armadura,Luxária,"[Pesada] Ar 5. Imunidade a Fogo, Frio e Elétrico. -1,5m Movimento.",,6d12+80,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Carapaça do Vazio,Armadura,Luxária,[Pesada] Ar 6. Imunidade a Necrótico e Psíquico. Imune a Amedrontado. -3m Movimento.,,6d12+80,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Armadura da Grande Árvore,Armadura,Luxária,"[Pesada] Ar 5. Regenera 2 de Saúde por turno. Imunidade a Veneno. Vulnerável a Fogo. -1,5m Movimento.",,6d12+80,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Armadura Primordial,Armadura,Luxária,"[Pesada] Ar 6. Imunidade a 1 tipo de dano à escolha ao vestir (Exceto: Força e Primordial). -1,5m Movimento.",,6d12+80,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Armadura do Imperador,Armadura,Luxária,[Pesada] Ar 6. Resistência a 2 tipos à escolha. 1x por descanso longo: Resistência a todos os tipos de dano por 1 rodada (Exceto: Primordial). -3m Movimento.,,6d12+80,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Anel do Baluarte,Armadura,Luxária,"[Leve] Ae(Todos, 3).",,6d12+80,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Coroa da Clarividência,Armadura,Luxária,"[Leve] Ae(Psíquico, 2). Enxerga criaturas invisíveis em 9m.",,6d12+80,"Drop, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Armadura de Couro,Armadura,Ordinário,[Pesada] Ar 2. Sem penalidade.,,2d10,"Loja, Drop",Ferraria,2x Couro de Caça,,,,,,,,,,,,,,,,,,,,
Gambeson,Armadura,Ordinário,[Pesada] Ar 2. Sem penalidade. Acolchoado.,,2d10,"Loja, Drop",Ferraria,2x Tecido Resistente,,,,,,,,,,,,,,,,,,,,
Cota de Malha,Armadura,Ordinário,"[Pesada] Ar 3. -1,5m Movimento.",,2d10,"Loja, Drop",Ferraria,2x Barra de Ferro,,,,,,,,,,,,,,,,,,,,
Peitoral de Ferro,Armadura,Ordinário,[Pesada] Ar 4. -3 m Movimento. -2 Furtividade.,,2d10,"Loja, Drop",Ferraria,2x Barra de Ferro,,,,,,,,,,,,,,,,,,,,
Braçadeiras de Couro,Armadura,Ordinário,"[Leve] Ae(Cortante, 2).",,2d10,"Loja, Drop",Ferraria,1x Couro de Caça,,,,,,,,,,,,,,,,,,,,
Capacete de Ferro,Armadura,Ordinário,"[Leve] Ae(Contundente, 3).",,2d10,"Loja, Drop",Ferraria,1x Barra de Ferro,,,,,,,,,,,,,,,,,,,,
Bandagem Encharcada,Consumível,Ordinário,Recupera 1d4 de Saúde. Sem bônus de atributo. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,2d10,"Loja, Drop",Não-craftável,,,Pano embebido em ervas baratas.,,,,,,,,,,,,,,,,,,
Goles de Aguardente,Consumível,Ordinário,"Recupera 1d4 de Stamina. Em seguida, -1 em testes de Percepção por 1 cena.",,2d10,"Loja, Drop",Não-craftável,,,Bebida forte de taverna.,,,,,,,,,,,,,,,,,,
Chá de Ervas Amargas,Consumível,Ordinário,Remove Enjoado. 50% de chance de remover Envenenado não-mágico.,,2d10,"Loja, Drop",Não-craftável,,,Infusão popular contra mal-estar.,,,,,,,,,,,,,,,,,,
Pão de Viagem Reforçado,Consumível,Ordinário,Refeição completa (substitui Comida no descanso). Recupera +1d4 de Stamina ao comer.,,2d10,"Loja, Drop",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Coquetel Incendiário,Consumível,Ordinário,Arremesso 6m. 1d6 Fogo em alvo único. 25% de chance de aplicar Em Chamas.,,2d10,"Loja, Drop",Não-craftável,,,Garrafa com pano e óleo barato.,,,,,,,,,,,,,,,,,,
Frasco de Vitríolo,Consumível,Ordinário,Arremesso 6m. 1d6 Ácido. Ignora 1 de Armadura(Ar).,,2d10,"Loja, Drop",Não-craftável,,,Ácido industrial diluído.,,,,,,,,,,,,,,,,,,
Saco de Cal,Consumível,Ordinário,"Arremesso 4,5m. Reflexos ou Cego por 1 rodada. 1 alvo.",,2d10,"Loja, Drop",Não-craftável,,,Cal virgem em saco de pano.,,,,,,,,,,,,,,,,,,
Bomba de Fumaça Caseira,Consumível,Ordinário,Cria nuvem de 3m de obscurecimento por 3 rodadas.,,2d10,"Loja, Drop",Não-craftável,,,Enxofre e serragem.,,,,,,,,,,,,,,,,,,
Peçonha de Caçador,Consumível,Ordinário,Aplicado em arma: +1d4 Veneno no próximo ataque (1 uso). Empilhável: pesa 1 bugiganga a cada 10 unidades.,,2d10,"Loja, Drop",Não-craftável,,,Veneno extraído de bichos do mato.,,,,,,,,,,,,,,,,,,
Sonífero Rústico,Consumível,Ordinário,Ingerido/inalado. Fortitude ou Enjoado por 1 rodada.,,2d10,"Loja, Drop",Não-craftável,,,Mistura grosseira de plantas sonolentas.,,,,,,,,,,,,,,,,,,
Veneno de Lâmina Comum,Consumível,Incomum,Aplicado em arma: +1d4 Veneno por 2 ataques. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,5d6+15,"Loja, Drop",Não-craftável,,,"Veneno de mercado negro, sem refino.",,,,,,,,,,,,,,,,,,
Estilhaço do Cataclismo,Consumível,Luxária,"Arremesso 9m. 5d6 Fogo + 2d6 Trovejante em área de 4,5m. Reflexos para metade. 1 uso.",,6d12+80,"Loja, Drop",Não-craftável,,,Fragmento instável de uma arma divina partida.,,,,,,,,,,,,,,,,,,
Veneno da Viúva Pálida,Consumível,Luxária,Aplicado em arma: +3d6 Veneno por 3 ataques. Cada acerto: Fortitude ou Paralisado 1 rodada. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,6d12+80,"Loja, Drop",Não-craftável,,,Destilado de uma aranha extinta.,,,,,,,,,,,,,,,,,,
Toxina do Esquecimento,Consumível,Luxária,1 ataque ou ingestão. Vontade ou a criatura esquece os últimos 10 minutos e fica Confusa por 1 min.,,6d12+80,"Loja, Drop",Não-craftável,,,Veneno mítico que apaga memórias.,,,,,,,,,,,,,,,,,,
Mochila do Contrabandista,Bugiganga,Exótico,+5 Bugigangas de capacidade. Compartimento oculto (Investigação CD 18 para achar) que esconde até 3 itens de revistas.,,6d10+40,"Loja, Drop",Engenharia,1x Couro Bestial,Armazenamento,Forro duplo com costura enganosa.,,,,,,,,,,,,,,,,,,
Bolsa Dimensional,Bugiganga,Luxária,Armazena até 50 Bugigangas; o conteúdo não conta peso. Sacar/guardar 1 item custa 1 ação livre. Itens vivos não podem entrar.,,6d12+80,"Drop, Loja",Não-craftável,,Armazenamento,Abertura para um bolso do plano Místico.,,,,,,,,,,,,,,,,,,
Óculos do Vidente,Bugiganga,Exótico,"1x por cena: ativa visão verdadeira por 3 rodadas (enxerga invisível, ilusões e através de escuridão mágica).",,6d10+40,"Loja, Drop",Engenharia,1x Mecanismo Arcano,Exploração,Lentes lapidadas com pó de cristal.,,,,,,,,,,,,,,,,,,
Botas Aracnídeas,Bugiganga,Exótico,"Escala qualquer superfície (inclusive teto) à velocidade normal por 10 min, 2x por descanso longo.",,6d10+40,"Loja, Drop",Engenharia,1x Mecanismo Arcano,Travessia,Solas com microganchos mecânicos.,,,,,,,,,,,,,,,,,,
Gazua Fantasma,Bugiganga,Exótico,Abre automaticamente qualquer fechadura não-mágica. +4 Crime em armadilhas. Não quebra.,,6d10+40,"Loja, Drop",Engenharia,1x Mecanismo Arcano,Crime,Liga que se molda à fechadura.,,,,,,,,,,,,,,,,,,
Torreta Portátil,Bugiganga,Exótico,Monta em 1 ação. Dispara automático no início do seu turno: 2d6 Perfurante no inimigo mais próximo em 12m. 15 de Saúde. Dura a cena.,,6d10+40,"Loja, Drop",Engenharia,1x Mecanismo Arcano,Armadilha,Besta mecânica de tripé com mira própria.,,,,,,,,,,,,,,,,,,
Lanterna Solar,Bugiganga,Exótico,Emite luz solar plena em 9m. Mortos-vivos na luz: -2 em tudo. Recarrega ao sol.,,6d10+40,"Loja, Drop",Engenharia,1x Mecanismo Arcano,Luz,Cristal que armazena luz do dia.,,,,,,,,,,,,,,,,,,
Kit de Trauma,Bugiganga,Exótico,3x por descanso longo: estabiliza um Morrendo e cura 2d6 + remove 1 condição física.,,6d10+40,"Loja, Drop",Engenharia,1x Trama Etérea,Médico,Maleta cirúrgica de campo.,,,,,,,,,,,,,,,,,,
Cápsula de Reanimação,Bugiganga,Luxária,"1x por descanso longo: revive uma criatura que morreu nesta cena, com 25% da Saúde máxima.",,6d12+80,"Drop, Loja",Não-craftável,,Médico,Soro que reacende a fagulha vital.,,,,,,,,,,,,,,,,,,
Bússola do Desejo,Bugiganga,Luxária,A agulha aponta para aquilo que o portador mais deseja no momento. O Mestre interpreta a direção.,,6d12+80,"Drop, Loja",Não-craftável,,Exploração,Relíquia que lê o coração de quem a segura.,,,,,,,,,,,,,,,,,,
Autômato de Bolso,Bugiganga,Luxária,"Invoca um pequeno autômato aliado (20 Saúde, age no seu turno, ataque 2d6). Permanente; se destruído, reconstrói em 1 descanso longo.",,6d12+80,"Loja, Drop",Engenharia,1x Coração Mecânico,Engenhoca,Companheiro mecânico dobrável.,,,,,,,,,,,,,,,,,,
Núcleo de Sobrecarga,Bugiganga,Luxária,"1x por combate: sobrecarrega uma arma à distância ou engenhoca, dobrando seu efeito no próximo uso. Depois, o item fica inutilizável por 1 cena.",,6d12+80,"Loja, Drop",Engenharia,1x Coração Mecânico,Engenhoca,Bateria primordial instável.,,,,,,,,,,,,,,,,,,
Kit de Mestre-Artífice,Bugiganga,Luxária,+4 Ofício(Engenharia). Reduz a CD de Criação de qualquer item em 5.,,6d12+80,"Loja, Drop",Engenharia,1x Coração Mecânico,Ferramentas,Ferramentas de um artífice lendário.,,,,,,,,,,,,,,,,,,
Cronômetro Estagnante,Bugiganga,Luxária,1x por descanso longo: congela o tempo de um alvo a 9m por 1 rodada (Vontade resiste). Alvo não pode agir nem ser afetado.,,6d12+80,"Drop, Loja",Não-craftável,,Engenhoca,Engrenagem que prende um instante.,,,,,,,,,,,,,,,,,,
Arma Marcial Pesada +3,Arma,Luxária,"Marcial Pesada. 4d10+3. +6 em Atacar. Ao acertar, pode empurrar o alvo 1,5m.",,6d12+80,"Loja, Drop",Ferraria,1x Arma Marcial Pesada +2 + 2x Liga Primordial,,,,,,,,,,,,,,,,,,,,
